Source,Target,Dialogues,Type,Time in Movie,Start Time Code,End Time Code,Time Duration
Fear,To all emotions,Fear: I say we skip school tomorrow and lock ourselves in the bedroom.,,,,,
Disgust,To all emotions,Disgust: We have no clean clothes. I mean no one should see us,,,,,
Sadness,To all emotions,"Sadness: Yeah, we could cry until we can’t breathe.",,,,,
Anger,To all emotions,Anger: We should lock the door and scream that curse word we know. It’s a good one!,,,,,
Joy,To all emotions,"Joy: Now, hold on. Look, we all have our off days. You know…",,,,,
#N/A,,[the emotions watch as Riley’s mom comes to her room to say good night],,,,,
Mom,Riley,"Mom: Hi, honey.",,,,,
Anger,To all emotions,Anger: The Mom bad news train is pulling in. Toot-toot!,,,,,
Mom,Riley,Mom: Still no moving van. Now they’re saying it won’t be here till Tuesday. Can you believe it?,,,,,
Anger,To all emotions,Anger: Toot-toot-toot!,,,,,
Riley,Mom,Riley: Where’s Dad?,,,,,
Mom,Riley,Mom: On the phone. This new adventure is keeping him pretty busy.,,,,,
Anger,To all emotions,Anger: I rest my case.,,,,,
Mom,Riley,"Mom: Your Dad’s a little stress, you know, about getting his new company up and running…",,,,,
#N/A,,[looking disheartened Joy goes to the side while the other emotions take over the controls],,,,,
Anger,Riley,"Anger: Now, for a few well place withering scowls.",,,,,
Mom,Riley,"Mom: I guess all I really want to say is, thank you.",,,,,
Anger,To all emotions,Anger: Huh?,,,,,
Mom,Riley,"Mom: You know, through all these confusion you’ve stayed… Well, you’ve stayed our happy girl. Your Dad is under a lot of pressure. But, if you and I can keep smiling, it would be a big help. We can do that for him. Right?",,,,,
Joy,To all emotions,Joy: Whoa.,,,,,
#N/A,,[Joy comes over to take over the controls],,,,,
Joy,,Joy: Well.,,,,,
#N/A,,[Riley smiles],,,,,
Riley,,"Riley: Yeah, sure. ",,,,,
#N/A,,"[she kisses Riley good night, turns off the light and gets up to leave]",,,,,
Mom,Riley,Mom: What did we do to deserve you? dreams.,,,,,
Riley,Mom,Riley: Good night.,,,,,
Anger,To all emotions,"Anger: Well, you can’t argue with Mom. Happy it is.",,,,,
Disgust,To all emotions,"Disgust: Can’t argue with Mom, that’s true.",,,,,
Fear,To all emotions,Fear: Team Happy. Sounds great.,,,,,
Disgust,Joy,"Disgust: Totally behind you, Joy.",,,,,
#N/A,,[Riley closes her eyes to sleep],,,,,
Joy,To all emotions,"Joy: Looks like we’re going into REM. I’ve got dream duty so I’ll take care of sending these to long term. Great day today, guys. Oh, sleep well, team Happy.",,,,,
#N/A,,[The team heads off to bed. Harp music plays.],,,,,
Joy,Dream production,"Joy: All right. What's on tonight, Dream Production?",,,,,
#N/A,,"[On the screen, a dream comes up.]",,,,,
#N/A,,[The family flies happily through the air in the car. They land in front of the house...],,,,,
Dad,,"Dad: Well, this is it. The new place.",,,,,
#N/A,,[...except it's haunted! Organ music. Ghosts howling. The dead mouse rises up into frame.],,,,,
Mouse,,"Mouse: Come live with me, Riley. [grunts]",,,,,
Bear,,Bear: Somebody order a broccoli pizza?,,,,,
Pizza Guy 1,,Pizza Guy 1: Eat me!,,,,,
Pizza Guy 2,,Pizza Guy 2: I'm organic!,,,,,
#N/A,,[after Joy sees that Riley is having a nightmare about her move the new house and city],,,,,
Joy,,"Joy: [sighs] No! Who is in charge of programming down there? I know I’m not supposed to do this, but…",,,,,
#N/A,,[she turns off Riley’s nightmare],,,,,
Joy,Riley,Joy: We are not going to end the day like this.,,,,,
#N/A,,[Joy brings up a core memory so that Riley can dream ice skating with her family],,,,,
Joy,Riley,Joy: Don’t you worry. I’m going to make sure that tomorrow is another great day. I promise.,,,,,
#N/A,,"[the next morning Joy is playing ""Reveille"" on the accordion to wake up the other emotions]",,,,,
Joy,To all emotions,Joy: Hello. Did I wake you?,,,,,
Anger,Joy,Anger: Do you have to play that?,,,,,
Joy,Anger,"Joy: Well, I have to practice. And I don’t think of it as playing so much as hugging.",,,,,
#N/A,,[she throws the accordion aside],,,,,
Joy,Fear,"Joy: Okay, first day of school. Very, very exciting. I was up late last night figuring out a new plan. Here it is! Fear, I need a list of all the possible negative outcomes on the first day at a new school.",,,,,
Fear,Joy,Fear: Way ahead of you there. Does anyone know how to spell meteor?,,,,,
Joy,Disgust,"Joy: Disgust, make sure Riley stands out today. But also blends in.",,,,,
Disgust,Joy,"Disgust: When I’m through, I think you're look so good, the other things will look at their own outfits and barf.",,,,,
Joy,Joy,"Joy: [to herself] Joy. Yes, Joy. You’ll be in charge of the console, keeping Riley happy all day long. And may I add, I love your dress, it’s adorable. Oh, this old thing. Thank you so much. I love the way it twirls.",,,,,
#N/A,,[spots the train heading towards them],,,,,
Joy,Anger,"Joy: Train of Thought, right on schedule. Anger, unload the daydreams. I ordered extra, in case things get slow in class.",,,,,
Anger,Joy,"Anger: Might come in handy, if this new school is full of boring, useless classes. Which it probably will be.",,,,,
Joy,Sadness,"Joy: Oh, Sadness. I have a super important job just for you.",,,,,
Sadness,Joy,Sadness: Really?,,,,,
Joy,,Joy: Um-hmm. Follow me.,,,,,
#N/A,,[Joy draws a circle with a chalk around where Sadness is standing],,,,,
Sadness,Joy,Sadness: What are you doing?,,,,,
Joy,Sadness,"Joy: And there, perfect. This is the circle of sadness. Your job is to make sure that all the sadness stays inside of it.",,,,,
Sadness,Joy,"Sadness: So, you want me just to stand here?",,,,,
Joy,Sadness,"Joy: Hey, it’s not my place to tell you how to do your job. Just make sure that all the sadness stays in the circle. See! You’re a pro at this. Isn’t this fun?",,,,,
Sadness,Joy,Sadness: No.,,,,,
Joy,Sadness,Joy: ‘At a girl.,,,,,
Joy,To all emotions,"Joy: Alright everyone, fresh start. We are going to have a good day which will turn into a good week, which will turn into a good year, which turns into a good life!",,,,,
#N/A,,[they watch as Riley’s mom helps her to get off to school],,,,,
Mom,Riley,"Mom: So, big day. New school. New friends. Huh?",,,,,
Riley,Mom,"Riley: I know. I’m kind of nervous, but I’m mostly excited. How do I look? Do you like my shirt?",,,,,
Mom,Riley,Mom: Very cute. You gonna be okay? You want us to walk with you?,,,,,
Disgust,Riley,"Disgust: Mom and Dad, with us in public. No, thank you.",,,,,
Joy,To all emotions,"Joy: Yep, I’m on it.",,,,,
#N/A,,[she presses a button the console],,,,,
Riley,Mom,"Riley: Nope, I’m fine. Bye Mom. Bye Dad.",,,,,
Dad,Riley,"Dad: Have a good day in school, monkey.",,,,,
#N/A,,[Riley starts doing a monkey impression and her parent join in],,,,,
Mom,Riley,"Mom: Have a great day, sweetheart.",,,,,
#N/A,,[Riley is sat in class in her new school and notices some girls talking],,,,,
Disgust,To all emotions,"Disgust: Okay, we’ve got a group of cool girls at two o’clock.",,,,,
Joy,Disgust,Joy: How do you know?,,,,,
Disgust,Joy,"Disgust: Double ears pierce, infinity scarf.",,,,,
Joy,Disgust,Joy: Woah. Is she wearing eye shadow?,,,,,
Disgust,Joy,Disgust: Yeah. We want to be friends with them.,,,,,
Joy,Disgust,Joy: Let’s go talk to them.,,,,,
Disgust,Joy,Disgust: Are you kidding? We’re not talking to them! We want them to like us.,,,,,
Joy,Disgust,"Joy: Oh. Yeah. Wait, what?",,,,,
Fear,Joy,"Fear: Almost finished with the potential disasters. Worst scenario is either quicksands, spontaneous combustion or getting called on by the teacher. So as long as none of those happens…",,,,,
#N/A,,"[back in school, Riley’s teacher enters the classroom]",,,,,
Teacher,Unknown,"Teacher: Okay, everybody. We have a new student in class today.",,,,,
Fear,To all emotions,Fear: Are you kidding me! Out of the gate! This is not happening!,,,,,
Teacher,Riley,"Teacher: Riley, would you like to tell us something about yourself?",,,,,
Fear,Riley,Fear: No! Pretend we can’t speak English.,,,,,
Joy,To all emotions,"Joy: Don’t worry, I got this.",,,,,
#N/A,,"[with Joy controlling the console, Riley stands to introduce herself to the class]",,,,,
Riley,Teacher,Riley: My name is Riley Andersen. I’m from Minnesota and now I live here.,,,,,
Teacher,Riley,Teacher: And how about Minnesota? Can you tell us something about it? Well you certainly get a lot more snow than we do.,,,,,
#N/A,,[the teacher laughs and Joy starts laughing too],,,,,
Joy,Teacher,Joy: She’s hilarious.,,,,,
Riley,Unknown,"Riley: Yeah, it gets pretty cold. The lake freezes over, and that’s when we play hockey. I’m on a great team; we’re called the Prairie dogs. My friend, Meg plays forward and my Dad’s the coach. Pretty much everyone in my family skates; it’s kind of a family tradition. We go out on the lake almost every weekend.",,,,,
#N/A,,[suddenly her memory of skating with her parents turns sad],,,,,
Riley,Teacher,"Riley: Or, we did till I moved away.",,,,,
Disgust,To all emotions,Disgust: Hey. What gives?,,,,,
Fear,To all emotions,Fear: What?,,,,,
#N/A,,[the emotions turn and see Sadness is touching one of Riley’s core memories again],,,,,
Joy,Sadness,"Joy: Hey, Sadness! You touched a memory? We talked about this.",,,,,
Sadness,Joy,"Sadness: Oh, yeah, I know. I’m sorry.",,,,,
Joy,Sadness,Joy: Get back in your circle. [she tries to get the core memory out but it’s stuck] What’s going on?,,,,,
Fear,Joy,"Fear: Get it out of there, Joy.",,,,,
Joy,To all emotions,Joy: Why won't it eject?,,,,,
#N/A,,"[back in class, Riley gets sadder, nearly in tears]",,,,,
Riley,Teacher,Riley: We used to play tag and stuff.,,,,,
Disgust,To all emotions,Disgust: Cool kids whispering at three o’clock.,,,,,
Fear,To all emotions,Fear: Did you see that look? They’re judging us!,,,,,
#N/A,,[Riley cries in class as she feels sadder],,,,,
Riley,Teacher,"Riley: But, everything is different now. Since we moved.",,,,,
Fear,To all emotions,"Fear: Oh, no! We’re crying! At school!",,,,,
#N/A,,[Joy sees Sadness on the console],,,,,
Joy,Sadness,"Joy: What? Sadness, what are you doing?",,,,,
#N/A,,[Joy pulls Sadness away from the console],,,,,
Sadness,Joy,"Sadness: Oh, I’m sorry. I’m, oh.",,,,,
#N/A,,[suddenly a blue core memory drops down],,,,,
Fear,To all emotions,Fear: It’s a core memory.,,,,,
Disgust,To all emotions,Disgust: But it’s blue.,,,,,
#N/A,,[as the core memory is going towards the core memory holder],,,,,
Joy,,Joy: No! Wait! Stop it! No!,,,,,
#N/A,,[Joy grabs the sad core memory and tries to dispose of it],,,,,
Sadness,Joy,"Sadness: Joy, no. That’s a core memory!",,,,,
#N/A,,[Sadness tries to take it from Joy],,,,,
Joy,Sadness,Joy: Hey! Stop it! Let go!,,,,,
Sadness,Joy,Sadness: Don’t! Wait!,,,,,
#N/A,,[in trying to pull away from Sadness Joy knocks down the other core memories],,,,,
Fear,To all emotions,Fear: The core memories!,,,,,
#N/A,,"[this shuts down the personality islands and as Joy tries to put the core memories back she, Sadness and the core memories are sucked through the memory tube and sent to the rest of Riley’s mind]",,,,,
#N/A,,[back in class Riley sits back down],,,,,
Teacher,Riley,"Teacher: Thank you, Riley. I know it can be tough moving to a new place, but we are happy to have you here. Alright, everyone. Get out you history books and turn to chapter 7.",,,,,
#N/A,,"[back in headquarters, Anger, Fear and Disgust are left alone looking shocked]",,,,,
Anger,To all emotions,Anger: Can I say that curse word now?,,,,,
#N/A,,[Joy and Sadness exit the tube and find themselves in long term memory],,,,,
Joy,,Joy: Where are we? Long term memory? Wait.,,,,,
#N/A,,[Joy finds the personality islands have shut down],,,,,
Joy,,Joy: Goofball Island?,,,,,
Sadness,,"Sadness: Riley’s islands of personality, they’re all down! Oh, this is bad.",,,,,
Joy,,"Joy: We…we can fix this. We just have to get back to Headquarters, plug the core memories in and Riley will be back to normal.",,,,,
Sadness,,Sadness: Oh. Riley has no core memories. No personality islands and no… Oh.,,,,,
Joy,,Joy: What? What is it?,,,,,
Sadness,,Sadness: You. You’re not in Headquarters. Without your Riley can’t be happy. We gotta get you back up there.,,,,,
Joy,,"Joy: I’m coming, Riley.",,,,,
#N/A,,[they start running to make their way back to headquarters],,,,,
#N/A,,"[Riley and her parents are sitting, having dinner]",,,,,
Mom,,"Mom: So, as it turns out the green trash can is not recycling, it’s for greens, like compose and egg shells. And the blue one is recycling, and the black one is trash.",,,,,
Disgust,,Disgust: Riley is acting so weird. Why is she acting so weird?,,,,,
Anger,,Anger: What did you expect? All the islands are down.,,,,,
Disgust,,Disgust: Joy would know what to do.,,,,,
Fear,,"Fear: That’s it. Until she gets back, we will do what Joy would do.",,,,,
Disgust,,"Disgust: Great idea. Anger, Fear, Disgust. How are we supposed to be happy?!",,,,,
#N/A,,[the emotion watch through Riley’s eyes again],,,,,
Mom,,"Mom: Hey, Riley. I’ve got good news. I found a junior hockey league, right here, in San Francisco. And get this, tryouts are tomorrow after school. What luck, right?",,,,,
Fear,,Fear: Hockey?,,,,,
Disgust,,Disgust: Uh-oh. What do we do?,,,,,
Fear,,"Fear: Guys, th…this… Here, you pretend to be Joy.",,,,,
#N/A,,[he moves Disgust to stand by the console],,,,,
Mom,,Mom: Wouldn’t it be great to be back out on the ice?,,,,,
#N/A,,[Disgust touches a button on the console and Riley’s answer comes out as sarcastic],,,,,
Riley,,"Riley: Oh, yeah. That sounds fantastic.",,,,,
#N/A,,[to Disgust],,,,,
Fear,,Fear: What was that? That wasn’t anything like Joy!,,,,,
Disgust,,Disgust: Ah…because I’m not Joy.,,,,,
Fear,,"Fear: Yeah, no kidding.",,,,,
#N/A,,[insides Mom’s mind her emotions discuss Riley’s sarcastic response],,,,,
Mom’s Sadness,,Mom’s Sadness: Did you guys pick up on that?,,,,,
#N/A,,[the other emotion agree],,,,,
Mom’s Disgust,,Mom’s Disgust: Something's wrong.,,,,,
Mom’s Anger,,Mom’s Anger: Should we ask her?,,,,,
#N/A,,"[to Mom’s Joy, who is controlling the console]",,,,,
Mom’s Sadness,,"Mom’s Sadness: Let’s probe, but keep it subtle so she doesn’t notice.",,,,,
Mom,,"Mom: [to Riley] So, how was the first day of school?",,,,,
Anger,,Anger: She’s probing us.,,,,,
Disgust,,Disgust: I’m done. You pretend to be Joy.,,,,,
Fear,,"Fear: [she pushes Fear towards the console] What? Okay. Uh, hmm.",,,,,
#N/A,,[he presses a button on the console and Riley replies to her mother with doubt],,,,,
Riley,,"Riley: It was fine, I guess. I don’t know.",,,,,
Disgust,,"Disgust: [to Fear] Oh, very smooth. That was just like Joy.",,,,,
Mom’s Anger,,Mom’s Anger: Something is definitely is going on.,,,,,
Mom’s Disgust,,Mom’s Disgust: She’s never acted like this before. What should we do?,,,,,
Mom’s Sadness,,"Mom’s Sadness: We’re gonna find out what’s happening, but we’ll need support.",,,,,
#N/A,,[to Mom’s Joy],,,,,
Mom’s Sadness,,Mom’s Sadness: Signal the husband.,,,,,
#N/A,,[trying to get Dad’s attention],,,,,
Mom,,Mom: Ahem.,,,,,
#N/A,,[inside Dad’s mind we see he’s distracted as his emotions are watching the memory of a hockey game],,,,,
Mom,,Mom: Ahem!,,,,,
#N/A,,[Dad notices Mom trying to get his attention],,,,,
Dad’s Anger,,Dad’s Anger: Uh-oh. She’s looking at us. What did she say?,,,,,
Dad’s Fear,,"Dad’s Fear: What? Oh, sorry, sir. No one was listening.",,,,,
Dad’s Anger,,"Dad’s Anger: Is it garbage night? Uh, we let the toilet seat up. What? What is it, woman? What?!",,,,,
#N/A,,[referring to dad],,,,,
Mom’s Disgust,,Mom’s Disgust: He’s making that stupid face again.,,,,,
Mom’s Anger,,Mom’s Anger: I could strangle him right now!,,,,,
Mom’s Sadness,,Mom’s Sadness: [to Mom’s Joy] Signal him again.,,,,,
#N/A,,[Mom gets dad’s attention and he suddenly realizes what she wants him to do],,,,,
Dad,,"Dad: Ah, so, Riley, how was school?",,,,,
Mom’s Joy,,Mom’s Joy: Seriously?,,,,,
Mom’s Sadness,,Mom’s Sadness: You got to be kidding me.,,,,,
Mom’s Anger,,"Mom’s Anger: For this, we gave up that Brazilian helicopter pilot?",,,,,
#N/A,,[moving Disgust and Fear aside from the console],,,,,
Anger,,Anger: Move! I’ll be Joy.,,,,,
#N/A,,[he presses a button on the console and Riley replies to dad in a snarky angry way],,,,,
Riley,,Riley: School was great. Alright?,,,,,
Mom,,"Mom: Riley, is everything okay?",,,,,
#N/A,,[Riley rolls her eyes and sighs],,,,,
Dad’s Fear,,"Dad’s Fear: Sir, she just rolled her eyes at us.",,,,,
Dad’s Anger,,"Dad’s Anger: What is her deal? Alright, make a show of force. I don’t want to have to put the foot down.",,,,,
Dad’s Fear,,Dad’s Fear: No. Not the foot.,,,,,
Dad,,"Dad: Riley, I do not like this new attitude.",,,,,
Anger,,"Anger: Oh, I’ll show you attitude, old man.",,,,,
Fear,,"Fear: No. No, no, no. Stay happy!",,,,,
#N/A,,[Anger punches Fear to the side and bangs the console button],,,,,
#N/A,,[Riley answer back to her dad in anger],,,,,
Riley,,Riley: What is your problem? Just leave me alone!,,,,,
Dad’s Fear,,"Dad’s Fear: Sir, reporting high level of sass.",,,,,
Dad’s Anger,,Dad’s Anger: Take it to DEFCON 2.,,,,,
Dad’s Fear,,"Dad’s Fear: You heard that, gentlemen. DEFCON 2.",,,,,
Dad,,"Dad: Listen, young lady. I don’t know where this disrespectful attitude came from...",,,,,
Anger,,"Anger: You want a piece of this, pops? Come and get it!",,,,,
#N/A,,[Riley’s Anger goes into overdrive],,,,,
Riley,,Riley: Yeah. Well…well...,,,,,
Dad’s Anger,,Dad’s Anger: Here it comes. Prepare the foot!,,,,,
#N/A,,[to Dad’s Disgust],,,,,
Dad’s Fear,,"Dad’s Fear: Keys, to safety position.",,,,,
#N/A,,[they turn the keys on the console to unlock the foot],,,,,
Dad’s Fear,,"Dad’s Fear: Ready to launch on your command, sir.",,,,,
#N/A,,"[Anger pulls the lever, the top of his head erupting in flames, and Riley snaps at her dad]",,,,,
Riley,,Riley: JUST SHUT UP!!,,,,,
Dad’s Anger,,Dad’s Anger: Fire!,,,,,
#N/A,,[Dad’s Fear pushes the red button that releases the foot down],,,,,
Dad,,Dad: That’s it! Go to your room. Now!,,,,,
#N/A,,[Riley stomps to her room in anger],,,,,
Dad’s Fear,,Dad’s Fear: The foot is down! The foot is down!,,,,,
#N/A,,[Dad’s other emotions cheer],,,,,
Dad’s Anger,,"Dad’s Anger: Good job, gentlemen. That could’ve been a disaster.",,,,,
#N/A,,[after dad has told Riley off],,,,,
Mom’s Sadness,,"Mom’s Sadness: Well, that was a disaster.",,,,,
#N/A,,[Mom’s Anger brings up the core memory of the Brazilian helicopter pilot],,,,,
Helicopter Pilot,,"Helicopter Pilot: Come. Fly with me, gatinha.",,,,,
#N/A,,[Mom’s emotions all sigh in longing],,,,,
#N/A,,"[Riley gets inside the room and angrily slams the door; inside her mind, a brief tremor shakes Family Island]",,,,,
#N/A,,[back with Joy and Sadness who have gone through Goofball Island and are contemplating the bridge connecting the island to Headquarters],,,,,
Sadness,,"Sadness: We’re gonna walk out there, on that?",,,,,
Joy,,Joy: It’s the quickest way back.,,,,,
Sadness,,"Sadness: But it's over the Memory Dump. If we fall, we’ll be forgotten forever.",,,,,
Joy,,Joy: We have to do this for Riley. Just follow my footsteps. [as she starts walking on the narrow bridge] Not that high. It’s totally fin… [she looks down and starts to get woozy from the height and nearly falls],,,,,
#N/A,,[later as Riley is sulking in her room dad comes to check on her],,,,,
Dad,,"Dad: Hey. So, uh, things got a little out of hand downstairs. Do you want to talk about it? *Come on. Where’s my happy girl? Monkey. [he attempts to goof around making monkey noises to cheer Riley up]",,,,,
Anger,,Anger: Whoa. He’s trying to start up Goofball.,,,,,
#N/A,,"[the emotions go over to look at Goofball Island but it’s still shut down, as the core memories are missing it’s unable to activate, and instead crumbles and falls into the abyss, nearly taking Joy and Sadness with it]",,,,,
Dad,,Dad: I get it. You need some alone time. We’ll talk later.,,,,,
#N/A,,[he leaves the room],,,,,
Disgust,,Disgust: We have a major problem.,,,,,
Fear,,"Fear: Oh, Joy. Where are you?",,,,,
#N/A,,[back with Joy and Sadness],,,,,
Sadness,,"Sadness: We lost Goofball Island. That means she can lose Friendship and Hockey and Honesty and Family. You can fix this. Right, Joy?",,,,,
Joy,,"Joy: I… Uh, I don’t know.",,,,,
Sadness,,Sadness: Oh.,,,,,
Joy,,"Joy: But we have to try. Okay, come on. Riley’s gone to sleep. Which is a good thing, when you think about it. Because nothing else bad could happen when she’s asleep. We’ll be back to Headquarters fore she wakes up. We’ll just go across Friendship Island.",,,,,
#N/A,,[as the look across],,,,,
Sadness,,"Sadness: Oh, we’ll never make it.",,,,,
Joy,,"Joy: No, no. No, no, no, no. Don’t obsess over the weight of life’s problems! Remember the funny movie where the dog dies!",,,,,
#N/A,,[Sadness suddenly collapses],,,,,
Joy,,"Joy: Oh, Sadness. We don’t have time for this. We’ll…we’ll just have to go around. Take the scenic route.",,,,,
#N/A,,[Joy starts walking towards the labyrinthine storage area of Riley’s long term memory],,,,,
Sadness,,"Sadness: Wait. Joy, you can get lost in there.",,,,,
Joy,,Joy: Think positive.,,,,,
Sadness,,"Sadness: Okay, I’m positive you will get lost in there. That’s long term memory. An endless warren of corridors and shelves. I read about it in the manuals.",,,,,
Joy,,Joy: The manuals? The manuals! You read the manuals!,,,,,
Sadness,,Sadness: Yeah.,,,,,
Joy,,Joy: So you know the way back to Headquarters.,,,,,
Sadness,,Sadness: I…I guess.,,,,,
Joy,,"Joy: You are my map. Let’s go. Lead on, mind map. Show me where we’re going.",,,,,
Sadness,,"Sadness: Okay, only. I’m too sad to walk. Just give me a few hours to… [suddenly Joy grabs Sadness’s foot and starts dragging her on the ground]",,,,,
#N/A,,[as she’s dragging Sadness by her leg through the long term memory corridors],,,,,
Joy,,"Joy: Which way, left?",,,,,
Sadness,,Sadness: Right.,,,,,
#N/A,,[Joy turns right],,,,,
Sadness,,"Sadness: No, I mean go left. I said left was right like correct.",,,,,
#N/A,,[Joy goes the opposite way],,,,,
Joy,,Joy: Okay.,,,,,
Sadness,,Sadness: This actually feels kind of nice.,,,,,
Joy,,"Joy: Okay, here we go. We’ll be back to Headquarters before morning. We can do it. This will be easy! This is working.",,,,,
#N/A,,[sometime later as Joy looks exhausted still dragging Sadness through long term memory],,,,,
Joy,,Joy: This is not working. Are we getting close?,,,,,
Sadness,,"Sadness: Yeah, just another right. And a left. And then another left and a right.",,,,,
Joy,,"Joy: Are you sure you know where we’re going? Cause we seem to be walking away from Headquarters. [as everything becomes brighter] Riley’s awake. [suddenly Joy drops the core memory spheres, Sadness goes to pick one up] Uh-uh! Don’t. Don’t touch, remember? If you touch them, they stay sad.",,,,,
Sadness,,"Sadness: Oh, sorry. I…I won’t. Starting now.",,,,,
#N/A,,[Joy looks back and sees the rows of core memories that sadness had touched as she was being dragged],,,,,
Joy,,Joy: I can’t take much more of this.,,,,,
#N/A,,[as Joy encounters some mind workers],,,,,
Mind Worker #1,,Mind Worker #1: Phone numbers.,,,,,
Mind Worker #2,,Mind Worker #2: Oh.,,,,,
Mind Worker #1,,"Mind Worker #1: We don’t need all these, they’re in her phone.",,,,,
Mind Worker #2,,"Mind Worker #2: Just forget all of that, please. [he hoovers up the core memories containing phone numbers]",,,,,
Joy,,Joy: Excuse me. Hi!,,,,,
Mind Worker #2,,Mind Worker #2: Forget it!,,,,,
Joy,,Joy: I need to find Friendship Island.,,,,,
Mind Worker #1,,Mind Worker #1: Look at this. Four years of piano lessons.,,,,,
Mind Worker #2,,"Mind Worker #2: Yeah, it looks pretty faded.",,,,,
Mind Worker #1,,"Mind Worker #1: You know what? Save Chopsticks and Heart and Soul, get rid of the rest. [the other mind worker hoovers those core memories] US presidents. What do you think?",,,,,
Mind Worker #2,,"Mind Worker #2: Just keep Washington, Lincoln and the fat one.",,,,,
Mind Worker #1,,Mind Worker #1: Forget em! [the other ones hoovers those core memories],,,,,
Joy,,Joy: Hey! You can’t throw those away! Those are perfectly good memories.,,,,,
Mind Worker #2,,Mind Worker #2: The names of every Cutiepie Princess doll?,,,,,
Joy,,"Joy: Yes. That is critical information. Glitter storm, Honey pants…",,,,,
Mind Worker #1,,Mind Worker #1: Forget em! [the mind worker hoovers them up],,,,,
#N/A,,[referring to the hoovered memories],,,,,
Joy,,Joy: Hey! Bring those back!,,,,,
Mind Worker #1,,Mind Worker #1: They’re in the Dump. Nothing comes back from the Dump.,,,,,
Mind Worker #2,,"Mind Worker #2: Yeah. Look, lady. This is our job, okay.",,,,,
Mind Worker #1,,"Mind Worker #1: When Riley doesn’t care about a memory, it fades.",,,,,
Joy,,Joy: Fades?,,,,,
Mind Worker #1,,Mind Worker #1: Happens to the best of them.,,,,,
Mind Worker #2,,Mind Worker #2: Except for this bad boy. This one will never fade.,,,,,
#N/A,,[he holds up a core memory of Trident Gum’s annoying commercial song],,,,,
Joy,,Joy: The song from the gum commercial?,,,,,
Mind Worker #2,,"Mind Worker #2: You know, sometimes we send that one up to Headquarters for no reason.",,,,,
Mind Worker #1,,Mind Worker #1: It just plays in Riley’s head over and over again like a million times.,,,,,
#N/A,,[they laugh],,,,,
Mind Worker #1,,Mind Worker #1: Let’s watch it again.,,,,,
#N/A,,[the mind workers start singing along to the gum commercial song],,,,,
Joy,,"Joy: Yeah, I know. We all know the song. Okay, real catchy.",,,,,
Mind Worker #2,,"Mind Worker #2: Hey. What do you think, should we do it?",,,,,
Mind Worker #1,,Mind Worker #1: Yeah.,,,,,
Mind Worker #2,,Mind Worker #2: Okay. Here we go! [he sends up the gum commercial core memory to headquarters],,,,,
Anger,,Anger: What the…? This again!,,,,,
#N/A,,"[back with Riley, who’s humming the gum commercial song under her breath as she talks to her friend Meg on her laptop]",,,,,
Meg,,Meg: Do you like it there? Did you feel any earthquakes? Is the bridge cool?,,,,,
Riley,,"Riley: Yeah, it’s good. What happened with the playoffs?",,,,,
Meg,,"Meg: We won the first game. Coach says we might actually go to the finals this year. Oh, and we got this new girl on the team. She’s so cool.",,,,,
#N/A,,[Meg holds up a photo of the girl on her phone],,,,,
Disgust,,"Disgust: Uh, she did not just say that.",,,,,
Fear,,Fear: A new girl?! Meg has a new friend already?,,,,,
#N/A,,[Anger starts growling in anger],,,,,
Disgust,,"Disgust: Hey-hey. Stay happy. We do not want to lose anymore islands here, guys.",,,,,
Meg,,Meg: We can pass the puck to each other without even looking. It’s like mind reading.,,,,,
Anger,,"Anger: You like to read minds, Meg. I got something for you to read right here!",,,,,
Disgust,,Disgust: Anger. What?,,,,,
#N/A,,"[Anger grabs the levers on the console, Fear tries to stop him]",,,,,
Fear,,"Fear: Wait, wait, wait! Let’s just be calm for one second…!",,,,,
#N/A,,"[Anger makes Fear fall back, he then pulls the levers on the console as his head catches fire, we then see Riley getting angry as she listens to Meg]",,,,,
Riley,,Riley: I gotta go.,,,,,
Meg,,Meg: What?,,,,,
Riley,,Riley: I gotta go! [She shuts her laptop in anger],,,,,
#N/A,,[Joy watches in horror as Friendship island crumbles down],,,,,
Joy,,"Joy: Oh, no. Friendship Island! What? Not Friendship.",,,,,
Sadness,,"Sadness: Oh, Riley loved that one. And now it’s gone. Goodbye, Friendship. Hello, Loneliness.",,,,,
#N/A,,[Joy sighs in frustration],,,,,
Joy,,Joy: We’ll just have to go the long way.,,,,,
Sadness,,"Sadness: Yeah. The long, long, long, long way. [she collapses back onto the ground again] I’m ready.",,,,,
#N/A,,[Joy starts to drag Sadness by her leg again],,,,,
Joy,,Joy: There’s gotta be a better way. [after Joy and Sadness encounter Bing Bong] Excuse me.,,,,,
Bing Bong,,Bing Bong: Oh. Ah! I was…I was looking for diversion! [he grabs a core memory and throws it across],,,,,
Joy,,Joy: What?,,,,,
Bing Bong,,"Bing Bong: Ha-ha! So long, sucker! [Bing Bong goes to run off but smacks into a tray of core memories and falls down] Ow. I hurt all over.",,,,,
Joy,,"Joy: Wait, I know you.",,,,,
Bing Bong,,"Bing Bong: No, you don’t. I get that a lot. I look like a lot of people.",,,,,
Joy,,"Joy: No, no, no. I do. Bing Bong! Riley’s imaginary friend.",,,,,
Bing Bong,,Bing Bong: You really do know me?,,,,,
Joy,,"Joy: Well, of course! Riley loved playing with you. You two were best friends! Oh, oh. You might know. We’re trying to get back to Headquarters.",,,,,
